time:1.000000, sourceNodeId:22, sId:1, number:14
time:60.000000, sourceNodeId:7, sId:2, number:9
time:61.000000, sourceNodeId:22, sId:1, number:9
time:61.000000, sourceNodeId:7, sId:2, number:17
time:62.000000, sourceNodeId:22, sId:1, number:10
time:62.000000, sourceNodeId:7, sId:2, number:9
time:63.000000, sourceNodeId:22, sId:1, number:6
time:63.000000, sourceNodeId:7, sId:2, number:12
time:64.000000, sourceNodeId:22, sId:1, number:9
time:64.000000, sourceNodeId:7, sId:2, number:8
time:65.000000, sourceNodeId:22, sId:1, number:8
time:65.000000, sourceNodeId:7, sId:2, number:8
time:66.000000, sourceNodeId:22, sId:1, number:12
time:66.000000, sourceNodeId:7, sId:2, number:14
time:67.000000, sourceNodeId:22, sId:1, number:8
time:67.000000, sourceNodeId:7, sId:2, number:15
time:68.000000, sourceNodeId:22, sId:1, number:12
time:68.000000, sourceNodeId:7, sId:2, number:12
time:69.000000, sourceNodeId:22, sId:1, number:16
time:69.000000, sourceNodeId:7, sId:2, number:9
time:70.000000, sourceNodeId:22, sId:1, number:12
time:70.000000, sourceNodeId:7, sId:2, number:7
time:71.000000, sourceNodeId:22, sId:1, number:10
time:71.000000, sourceNodeId:7, sId:2, number:9
time:72.000000, sourceNodeId:22, sId:1, number:8
time:72.000000, sourceNodeId:7, sId:2, number:14
time:73.000000, sourceNodeId:22, sId:1, number:14
time:73.000000, sourceNodeId:7, sId:2, number:8
time:74.000000, sourceNodeId:22, sId:1, number:12
time:74.000000, sourceNodeId:7, sId:2, number:12
time:75.000000, sourceNodeId:22, sId:1, number:6
time:75.000000, sourceNodeId:7, sId:2, number:7
time:76.000000, sourceNodeId:22, sId:1, number:5
time:76.000000, sourceNodeId:7, sId:2, number:10
time:77.000000, sourceNodeId:22, sId:1, number:5
time:77.000000, sourceNodeId:7, sId:2, number:12
time:78.000000, sourceNodeId:22, sId:1, number:6
time:78.000000, sourceNodeId:7, sId:2, number:8
time:79.000000, sourceNodeId:22, sId:1, number:12
time:79.000000, sourceNodeId:7, sId:2, number:11
time:80.000000, sourceNodeId:22, sId:1, number:7
time:80.000000, sourceNodeId:7, sId:2, number:8
time:81.000000, sourceNodeId:22, sId:1, number:13
time:81.000000, sourceNodeId:7, sId:2, number:16
time:82.000000, sourceNodeId:22, sId:1, number:5
time:82.000000, sourceNodeId:7, sId:2, number:9
time:83.000000, sourceNodeId:22, sId:1, number:14
time:83.000000, sourceNodeId:7, sId:2, number:16
time:84.000000, sourceNodeId:22, sId:1, number:15
time:84.000000, sourceNodeId:7, sId:2, number:13
time:85.000000, sourceNodeId:22, sId:1, number:9
time:85.000000, sourceNodeId:7, sId:2, number:10
time:86.000000, sourceNodeId:22, sId:1, number:10
time:86.000000, sourceNodeId:7, sId:2, number:7
time:87.000000, sourceNodeId:22, sId:1, number:10
time:87.000000, sourceNodeId:7, sId:2, number:8
time:88.000000, sourceNodeId:22, sId:1, number:13
time:88.000000, sourceNodeId:7, sId:2, number:10
time:89.000000, sourceNodeId:22, sId:1, number:11
time:89.000000, sourceNodeId:7, sId:2, number:5
time:90.000000, sourceNodeId:22, sId:1, number:11
time:90.000000, sourceNodeId:7, sId:2, number:9
time:91.000000, sourceNodeId:22, sId:1, number:5
time:91.000000, sourceNodeId:7, sId:2, number:7
time:92.000000, sourceNodeId:22, sId:1, number:8
time:92.000000, sourceNodeId:7, sId:2, number:8
time:93.000000, sourceNodeId:22, sId:1, number:8
time:93.000000, sourceNodeId:7, sId:2, number:6
time:94.000000, sourceNodeId:22, sId:1, number:3
time:94.000000, sourceNodeId:7, sId:2, number:5
time:95.000000, sourceNodeId:22, sId:1, number:6
time:95.000000, sourceNodeId:7, sId:2, number:12
time:96.000000, sourceNodeId:22, sId:1, number:12
time:96.000000, sourceNodeId:7, sId:2, number:6
time:97.000000, sourceNodeId:22, sId:1, number:9
time:97.000000, sourceNodeId:7, sId:2, number:12
time:98.000000, sourceNodeId:22, sId:1, number:11
time:98.000000, sourceNodeId:7, sId:2, number:4
time:99.000000, sourceNodeId:22, sId:1, number:16
time:99.000000, sourceNodeId:7, sId:2, number:10
time:100.000000, sourceNodeId:22, sId:1, number:6
time:100.000000, sourceNodeId:7, sId:2, number:10
time:101.000000, sourceNodeId:22, sId:1, number:12
time:101.000000, sourceNodeId:7, sId:2, number:10
time:102.000000, sourceNodeId:22, sId:1, number:14
time:102.000000, sourceNodeId:7, sId:2, number:10
time:103.000000, sourceNodeId:22, sId:1, number:11
time:103.000000, sourceNodeId:7, sId:2, number:15
time:104.000000, sourceNodeId:22, sId:1, number:6
time:104.000000, sourceNodeId:7, sId:2, number:19
time:105.000000, sourceNodeId:22, sId:1, number:10
time:105.000000, sourceNodeId:7, sId:2, number:16
time:106.000000, sourceNodeId:22, sId:1, number:9
time:106.000000, sourceNodeId:7, sId:2, number:10
time:107.000000, sourceNodeId:22, sId:1, number:9
time:107.000000, sourceNodeId:7, sId:2, number:8
time:108.000000, sourceNodeId:22, sId:1, number:8
time:108.000000, sourceNodeId:7, sId:2, number:7
time:109.000000, sourceNodeId:22, sId:1, number:8
time:109.000000, sourceNodeId:7, sId:2, number:13
time:110.000000, sourceNodeId:22, sId:1, number:12
time:110.000000, sourceNodeId:7, sId:2, number:12
time:111.000000, sourceNodeId:22, sId:1, number:7
time:111.000000, sourceNodeId:7, sId:2, number:10
time:112.000000, sourceNodeId:22, sId:1, number:7
time:112.000000, sourceNodeId:7, sId:2, number:8
time:113.000000, sourceNodeId:22, sId:1, number:10
time:113.000000, sourceNodeId:7, sId:2, number:6
time:114.000000, sourceNodeId:22, sId:1, number:10
time:114.000000, sourceNodeId:7, sId:2, number:8
time:115.000000, sourceNodeId:22, sId:1, number:8
time:115.000000, sourceNodeId:7, sId:2, number:5
time:116.000000, sourceNodeId:22, sId:1, number:13
time:116.000000, sourceNodeId:7, sId:2, number:7
time:117.000000, sourceNodeId:22, sId:1, number:7
time:117.000000, sourceNodeId:7, sId:2, number:19
time:118.000000, sourceNodeId:22, sId:1, number:8
time:118.000000, sourceNodeId:7, sId:2, number:13
time:119.000000, sourceNodeId:22, sId:1, number:15
time:119.000000, sourceNodeId:7, sId:2, number:17
time:120.000000, sourceNodeId:22, sId:1, number:3
time:120.000000, sourceNodeId:7, sId:2, number:6
time:121.000000, sourceNodeId:22, sId:1, number:9
time:121.000000, sourceNodeId:7, sId:2, number:8
time:122.000000, sourceNodeId:22, sId:1, number:12
time:122.000000, sourceNodeId:7, sId:2, number:6
time:123.000000, sourceNodeId:22, sId:1, number:8
time:123.000000, sourceNodeId:7, sId:2, number:9
time:124.000000, sourceNodeId:22, sId:1, number:8
time:124.000000, sourceNodeId:7, sId:2, number:6
time:125.000000, sourceNodeId:22, sId:1, number:12
time:125.000000, sourceNodeId:7, sId:2, number:4
time:126.000000, sourceNodeId:22, sId:1, number:7
time:126.000000, sourceNodeId:7, sId:2, number:11
time:127.000000, sourceNodeId:22, sId:1, number:8
time:127.000000, sourceNodeId:7, sId:2, number:6
time:128.000000, sourceNodeId:22, sId:1, number:9
time:128.000000, sourceNodeId:7, sId:2, number:9
time:129.000000, sourceNodeId:22, sId:1, number:10
time:129.000000, sourceNodeId:7, sId:2, number:11
time:130.000000, sourceNodeId:22, sId:1, number:4
time:130.000000, sourceNodeId:7, sId:2, number:5
time:131.000000, sourceNodeId:22, sId:1, number:7
time:131.000000, sourceNodeId:7, sId:2, number:5
time:132.000000, sourceNodeId:22, sId:1, number:11
time:132.000000, sourceNodeId:7, sId:2, number:10
time:133.000000, sourceNodeId:22, sId:1, number:11
time:133.000000, sourceNodeId:7, sId:2, number:4
time:134.000000, sourceNodeId:22, sId:1, number:12
time:134.000000, sourceNodeId:7, sId:2, number:5
time:135.000000, sourceNodeId:22, sId:1, number:5
time:135.000000, sourceNodeId:7, sId:2, number:4
time:136.000000, sourceNodeId:22, sId:1, number:13
time:136.000000, sourceNodeId:7, sId:2, number:18
time:137.000000, sourceNodeId:22, sId:1, number:7
time:137.000000, sourceNodeId:7, sId:2, number:16
time:138.000000, sourceNodeId:22, sId:1, number:4
time:138.000000, sourceNodeId:7, sId:2, number:11
time:139.000000, sourceNodeId:22, sId:1, number:6
time:139.000000, sourceNodeId:7, sId:2, number:12
time:140.000000, sourceNodeId:22, sId:1, number:15
time:140.000000, sourceNodeId:7, sId:2, number:7
time:141.000000, sourceNodeId:22, sId:1, number:8
time:141.000000, sourceNodeId:7, sId:2, number:18
time:142.000000, sourceNodeId:22, sId:1, number:3
time:142.000000, sourceNodeId:7, sId:2, number:8
time:143.000000, sourceNodeId:22, sId:1, number:10
time:143.000000, sourceNodeId:7, sId:2, number:17
time:144.000000, sourceNodeId:22, sId:1, number:6
time:144.000000, sourceNodeId:7, sId:2, number:6
time:145.000000, sourceNodeId:22, sId:1, number:13
time:145.000000, sourceNodeId:7, sId:2, number:12
time:146.000000, sourceNodeId:22, sId:1, number:12
time:146.000000, sourceNodeId:7, sId:2, number:13
time:147.000000, sourceNodeId:22, sId:1, number:10
time:147.000000, sourceNodeId:7, sId:2, number:6
time:148.000000, sourceNodeId:22, sId:1, number:9
time:148.000000, sourceNodeId:7, sId:2, number:12
time:149.000000, sourceNodeId:22, sId:1, number:5
time:149.000000, sourceNodeId:7, sId:2, number:6
time:150.000000, sourceNodeId:22, sId:1, number:8
time:150.000000, sourceNodeId:7, sId:2, number:6
time:151.000000, sourceNodeId:22, sId:1, number:9
time:151.000000, sourceNodeId:7, sId:2, number:11
time:152.000000, sourceNodeId:22, sId:1, number:5
time:152.000000, sourceNodeId:7, sId:2, number:11
time:153.000000, sourceNodeId:22, sId:1, number:10
time:153.000000, sourceNodeId:7, sId:2, number:10
time:154.000000, sourceNodeId:22, sId:1, number:11
time:154.000000, sourceNodeId:7, sId:2, number:9
time:155.000000, sourceNodeId:22, sId:1, number:5
time:155.000000, sourceNodeId:7, sId:2, number:21
time:156.000000, sourceNodeId:22, sId:1, number:9
time:156.000000, sourceNodeId:7, sId:2, number:13
time:157.000000, sourceNodeId:22, sId:1, number:8
time:157.000000, sourceNodeId:7, sId:2, number:9
time:158.000000, sourceNodeId:22, sId:1, number:14
time:158.000000, sourceNodeId:7, sId:2, number:11
time:159.000000, sourceNodeId:22, sId:1, number:10
time:159.000000, sourceNodeId:7, sId:2, number:14
time:160.000000, sourceNodeId:22, sId:1, number:11
time:160.000000, sourceNodeId:7, sId:2, number:8
time:161.000000, sourceNodeId:22, sId:1, number:6
time:161.000000, sourceNodeId:7, sId:2, number:10
time:162.000000, sourceNodeId:22, sId:1, number:10
time:162.000000, sourceNodeId:7, sId:2, number:8
time:163.000000, sourceNodeId:22, sId:1, number:17
time:163.000000, sourceNodeId:7, sId:2, number:8
time:164.000000, sourceNodeId:22, sId:1, number:14
time:164.000000, sourceNodeId:7, sId:2, number:8
time:165.000000, sourceNodeId:22, sId:1, number:9
time:165.000000, sourceNodeId:7, sId:2, number:8
time:166.000000, sourceNodeId:22, sId:1, number:19
time:166.000000, sourceNodeId:7, sId:2, number:9
time:167.000000, sourceNodeId:22, sId:1, number:10
time:167.000000, sourceNodeId:7, sId:2, number:14
time:168.000000, sourceNodeId:22, sId:1, number:11
time:168.000000, sourceNodeId:7, sId:2, number:8
time:169.000000, sourceNodeId:22, sId:1, number:10
time:169.000000, sourceNodeId:7, sId:2, number:14
time:170.000000, sourceNodeId:22, sId:1, number:11
time:170.000000, sourceNodeId:7, sId:2, number:15
time:171.000000, sourceNodeId:22, sId:1, number:11
time:171.000000, sourceNodeId:7, sId:2, number:7
time:172.000000, sourceNodeId:22, sId:1, number:7
time:172.000000, sourceNodeId:7, sId:2, number:14
time:173.000000, sourceNodeId:22, sId:1, number:10
time:173.000000, sourceNodeId:7, sId:2, number:12
time:174.000000, sourceNodeId:22, sId:1, number:12
time:174.000000, sourceNodeId:7, sId:2, number:9
time:175.000000, sourceNodeId:22, sId:1, number:10
time:175.000000, sourceNodeId:7, sId:2, number:8
time:176.000000, sourceNodeId:22, sId:1, number:6
time:176.000000, sourceNodeId:7, sId:2, number:11
time:177.000000, sourceNodeId:22, sId:1, number:17
time:177.000000, sourceNodeId:7, sId:2, number:11
time:178.000000, sourceNodeId:22, sId:1, number:10
time:178.000000, sourceNodeId:7, sId:2, number:10
time:179.000000, sourceNodeId:22, sId:1, number:7
time:179.000000, sourceNodeId:7, sId:2, number:11
time:180.000000, sourceNodeId:22, sId:1, number:6
time:180.000000, sourceNodeId:7, sId:2, number:8
time:181.000000, sourceNodeId:22, sId:1, number:12
time:181.000000, sourceNodeId:7, sId:2, number:9
time:182.000000, sourceNodeId:22, sId:1, number:7
time:182.000000, sourceNodeId:7, sId:2, number:5
time:183.000000, sourceNodeId:22, sId:1, number:12
time:183.000000, sourceNodeId:7, sId:2, number:12
time:184.000000, sourceNodeId:22, sId:1, number:9
time:184.000000, sourceNodeId:7, sId:2, number:19
time:185.000000, sourceNodeId:22, sId:1, number:11
time:185.000000, sourceNodeId:7, sId:2, number:8
time:186.000000, sourceNodeId:22, sId:1, number:11
time:186.000000, sourceNodeId:7, sId:2, number:10
time:187.000000, sourceNodeId:22, sId:1, number:6
time:187.000000, sourceNodeId:7, sId:2, number:11
time:188.000000, sourceNodeId:22, sId:1, number:7
time:188.000000, sourceNodeId:7, sId:2, number:10
time:189.000000, sourceNodeId:22, sId:1, number:10
time:189.000000, sourceNodeId:7, sId:2, number:9
time:190.000000, sourceNodeId:22, sId:1, number:9
time:190.000000, sourceNodeId:7, sId:2, number:7
time:191.000000, sourceNodeId:22, sId:1, number:11
time:191.000000, sourceNodeId:7, sId:2, number:20
time:192.000000, sourceNodeId:22, sId:1, number:9
time:192.000000, sourceNodeId:7, sId:2, number:9
time:193.000000, sourceNodeId:22, sId:1, number:9
time:193.000000, sourceNodeId:7, sId:2, number:7
time:194.000000, sourceNodeId:22, sId:1, number:10
time:194.000000, sourceNodeId:7, sId:2, number:7
time:195.000000, sourceNodeId:22, sId:1, number:9
time:195.000000, sourceNodeId:7, sId:2, number:13
time:196.000000, sourceNodeId:22, sId:1, number:8
time:196.000000, sourceNodeId:7, sId:2, number:20
time:197.000000, sourceNodeId:22, sId:1, number:10
time:197.000000, sourceNodeId:7, sId:2, number:11
time:198.000000, sourceNodeId:22, sId:1, number:15
time:198.000000, sourceNodeId:7, sId:2, number:9
time:199.000000, sourceNodeId:22, sId:1, number:9
time:199.000000, sourceNodeId:7, sId:2, number:12
time:200.000000, sourceNodeId:22, sId:1, number:13
time:200.000000, sourceNodeId:7, sId:2, number:13
time:201.000000, sourceNodeId:22, sId:1, number:8
time:201.000000, sourceNodeId:7, sId:2, number:6
time:202.000000, sourceNodeId:22, sId:1, number:6
time:202.000000, sourceNodeId:7, sId:2, number:13
time:203.000000, sourceNodeId:22, sId:1, number:11
time:203.000000, sourceNodeId:7, sId:2, number:13
time:204.000000, sourceNodeId:22, sId:1, number:5
time:204.000000, sourceNodeId:7, sId:2, number:5
time:205.000000, sourceNodeId:22, sId:1, number:9
time:205.000000, sourceNodeId:7, sId:2, number:13
time:206.000000, sourceNodeId:22, sId:1, number:5
time:206.000000, sourceNodeId:7, sId:2, number:13
time:207.000000, sourceNodeId:22, sId:1, number:8
time:207.000000, sourceNodeId:7, sId:2, number:11
time:208.000000, sourceNodeId:22, sId:1, number:13
time:208.000000, sourceNodeId:7, sId:2, number:10
time:209.000000, sourceNodeId:22, sId:1, number:12
time:209.000000, sourceNodeId:7, sId:2, number:7
time:210.000000, sourceNodeId:22, sId:1, number:8
time:210.000000, sourceNodeId:7, sId:2, number:10
time:211.000000, sourceNodeId:22, sId:1, number:13
time:211.000000, sourceNodeId:7, sId:2, number:5
time:212.000000, sourceNodeId:22, sId:1, number:8
time:212.000000, sourceNodeId:7, sId:2, number:9
time:213.000000, sourceNodeId:22, sId:1, number:11
time:213.000000, sourceNodeId:7, sId:2, number:13
time:214.000000, sourceNodeId:22, sId:1, number:10
time:214.000000, sourceNodeId:7, sId:2, number:10
time:215.000000, sourceNodeId:22, sId:1, number:12
time:215.000000, sourceNodeId:7, sId:2, number:7
time:216.000000, sourceNodeId:22, sId:1, number:7
time:216.000000, sourceNodeId:7, sId:2, number:9
time:217.000000, sourceNodeId:22, sId:1, number:13
time:217.000000, sourceNodeId:7, sId:2, number:10
time:218.000000, sourceNodeId:22, sId:1, number:17
time:218.000000, sourceNodeId:7, sId:2, number:8
time:219.000000, sourceNodeId:22, sId:1, number:8
time:219.000000, sourceNodeId:7, sId:2, number:11
time:220.000000, sourceNodeId:22, sId:1, number:13
time:220.000000, sourceNodeId:7, sId:2, number:8
time:221.000000, sourceNodeId:22, sId:1, number:3
time:221.000000, sourceNodeId:7, sId:2, number:13
time:222.000000, sourceNodeId:22, sId:1, number:9
time:222.000000, sourceNodeId:7, sId:2, number:7
time:223.000000, sourceNodeId:22, sId:1, number:11
time:223.000000, sourceNodeId:7, sId:2, number:15
time:224.000000, sourceNodeId:22, sId:1, number:8
time:224.000000, sourceNodeId:7, sId:2, number:8
time:225.000000, sourceNodeId:22, sId:1, number:11
time:225.000000, sourceNodeId:7, sId:2, number:10
time:226.000000, sourceNodeId:22, sId:1, number:3
time:226.000000, sourceNodeId:7, sId:2, number:15
time:227.000000, sourceNodeId:22, sId:1, number:6
time:227.000000, sourceNodeId:7, sId:2, number:10
time:228.000000, sourceNodeId:22, sId:1, number:11
time:228.000000, sourceNodeId:7, sId:2, number:13
time:229.000000, sourceNodeId:22, sId:1, number:13
time:229.000000, sourceNodeId:7, sId:2, number:14
time:230.000000, sourceNodeId:22, sId:1, number:12
time:230.000000, sourceNodeId:7, sId:2, number:10
time:231.000000, sourceNodeId:22, sId:1, number:9
time:231.000000, sourceNodeId:7, sId:2, number:11
time:232.000000, sourceNodeId:22, sId:1, number:10
time:232.000000, sourceNodeId:7, sId:2, number:12
time:233.000000, sourceNodeId:22, sId:1, number:12
time:233.000000, sourceNodeId:7, sId:2, number:9
time:234.000000, sourceNodeId:22, sId:1, number:7
time:234.000000, sourceNodeId:7, sId:2, number:8
time:235.000000, sourceNodeId:22, sId:1, number:12
time:235.000000, sourceNodeId:7, sId:2, number:12
time:236.000000, sourceNodeId:22, sId:1, number:12
time:236.000000, sourceNodeId:7, sId:2, number:10
time:237.000000, sourceNodeId:22, sId:1, number:11
time:237.000000, sourceNodeId:7, sId:2, number:12
time:238.000000, sourceNodeId:22, sId:1, number:15
time:238.000000, sourceNodeId:7, sId:2, number:9
time:239.000000, sourceNodeId:22, sId:1, number:4
time:239.000000, sourceNodeId:7, sId:2, number:10
time:240.000000, sourceNodeId:22, sId:1, number:12
time:240.000000, sourceNodeId:7, sId:2, number:9
time:241.000000, sourceNodeId:22, sId:1, number:8
time:241.000000, sourceNodeId:7, sId:2, number:8
time:242.000000, sourceNodeId:22, sId:1, number:6
time:242.000000, sourceNodeId:7, sId:2, number:5
time:243.000000, sourceNodeId:22, sId:1, number:6
time:243.000000, sourceNodeId:7, sId:2, number:11
time:244.000000, sourceNodeId:22, sId:1, number:7
time:244.000000, sourceNodeId:7, sId:2, number:6
time:245.000000, sourceNodeId:22, sId:1, number:7
time:245.000000, sourceNodeId:7, sId:2, number:4
time:246.000000, sourceNodeId:22, sId:1, number:11
time:246.000000, sourceNodeId:7, sId:2, number:4
time:247.000000, sourceNodeId:22, sId:1, number:8
time:247.000000, sourceNodeId:7, sId:2, number:10
time:248.000000, sourceNodeId:22, sId:1, number:12
time:248.000000, sourceNodeId:7, sId:2, number:13
time:249.000000, sourceNodeId:22, sId:1, number:10
time:249.000000, sourceNodeId:7, sId:2, number:9
time:250.000000, sourceNodeId:22, sId:1, number:8
time:250.000000, sourceNodeId:7, sId:2, number:9
time:251.000000, sourceNodeId:22, sId:1, number:9
time:251.000000, sourceNodeId:7, sId:2, number:6
time:252.000000, sourceNodeId:22, sId:1, number:9
time:252.000000, sourceNodeId:7, sId:2, number:9
time:253.000000, sourceNodeId:22, sId:1, number:6
time:253.000000, sourceNodeId:7, sId:2, number:10
time:254.000000, sourceNodeId:22, sId:1, number:12
time:254.000000, sourceNodeId:7, sId:2, number:11
time:255.000000, sourceNodeId:22, sId:1, number:12
time:255.000000, sourceNodeId:7, sId:2, number:12
time:256.000000, sourceNodeId:22, sId:1, number:13
time:256.000000, sourceNodeId:7, sId:2, number:12
time:257.000000, sourceNodeId:22, sId:1, number:15
time:257.000000, sourceNodeId:7, sId:2, number:12
time:258.000000, sourceNodeId:22, sId:1, number:10
time:258.000000, sourceNodeId:7, sId:2, number:15
time:259.000000, sourceNodeId:22, sId:1, number:6
time:259.000000, sourceNodeId:7, sId:2, number:11
time:260.000000, sourceNodeId:22, sId:1, number:9
time:260.000000, sourceNodeId:7, sId:2, number:9
time:261.000000, sourceNodeId:22, sId:1, number:7
time:261.000000, sourceNodeId:7, sId:2, number:8
time:262.000000, sourceNodeId:22, sId:1, number:13
time:262.000000, sourceNodeId:7, sId:2, number:9
time:263.000000, sourceNodeId:22, sId:1, number:8
time:263.000000, sourceNodeId:7, sId:2, number:13
time:264.000000, sourceNodeId:22, sId:1, number:7
time:264.000000, sourceNodeId:7, sId:2, number:9
time:265.000000, sourceNodeId:22, sId:1, number:7
time:265.000000, sourceNodeId:7, sId:2, number:11
time:266.000000, sourceNodeId:22, sId:1, number:7
time:266.000000, sourceNodeId:7, sId:2, number:8
time:267.000000, sourceNodeId:22, sId:1, number:12
time:267.000000, sourceNodeId:7, sId:2, number:9
time:268.000000, sourceNodeId:22, sId:1, number:11
time:268.000000, sourceNodeId:7, sId:2, number:12
time:269.000000, sourceNodeId:22, sId:1, number:13
